character_id,character_name,character_status,character_species,episode_name,episode_code,episode_air_date,dimension
5,Jerry Smith,Alive,Human,The ABC's of Beth,S03E09,"September 24, 2017",Replacement Dimension
5,Jerry Smith,Alive,Human,The Rickchurian Mortydate,S03E10,"October 1, 2017",Replacement Dimension
5,Jerry Smith,Alive,Human,"Edge of Tomorty: Rick, Die, Rickpeat",S04E01,"November 10, 2019",Replacement Dimension
5,Jerry Smith,Alive,Human,The Old Man and the Seat,S04E02,"November 17, 2019",Replacement Dimension
5,Jerry Smith,Alive,Human,Claw and Hoarder: Special Ricktim's Morty,S04E04,"December 8, 2019",Replacement Dimension
5,Jerry Smith,Alive,Human,Rattlestar Ricklactica,S04E05,"December 15, 2019",Replacement Dimension
5,Jerry Smith,Alive,Human,Promortyus,S04E07,"May 10, 2020",Replacement Dimension
5,Jerry Smith,Alive,Human,The Vat of Acid Episode,S04E08,"May 17, 2020",Replacement Dimension
5,Jerry Smith,Alive,Human,Childrick of Mort,S04E09,"May 24, 2020",Replacement Dimension
5,Jerry Smith,Alive,Human,Star Mort: Rickturn of the Jerri,S04E10,"May 31, 2020",Replacement Dimension
5,Jerry Smith,Alive,Human,Mort Dinner Rick Andre,S05E01,"June 20, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Mortyplicity,S05E02,"June 27, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,A Rickconvenient Mort,S05E03,"July 4, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Rickdependence Spray,S05E04,"July 11, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Amortycan Grickfitti,S05E05,"July 18, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Rick & Morty's Thanksploitation Spectacular,S05E06,"July 25, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Gotron Jerrysis Rickvangelion,S05E07,"August 1, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Rickternal Friendshine of the Spotless Mort,S05E08,"August 8, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Forgetting Sarick Mortshall,S05E09,"September 5, 2021",Replacement Dimension
5,Jerry Smith,Alive,Human,Rickmurai Jack,S05E10,"September 5, 2021",Replacement Dimension
6,Abadango Cluster Princess,Alive,Alien,Rest and Ricklaxation,S03E06,"August 27, 2017",unknown
7,Abradolf Lincler,unknown,Human,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Replacement Dimension
7,Abradolf Lincler,unknown,Human,Ricksy Business,S01E11,"April 14, 2014",Replacement Dimension
8,Adjudicator Rick,Dead,Human,The Ricklantis Mixup,S03E07,"September 10, 2017",Unknown
9,Agency Director,Dead,Human,Pickle Rick,S03E03,"August 6, 2017",Replacement Dimension
10,Alan Rails,Dead,Human,Vindicators 3: The Return of Worldender,S03E04,"August 13, 2017",Unknown
11,Albert Einstein,Dead,Human,A Rickle in Time,S02E01,"July 26, 2015",Dimension C-137
12,Alexander,Dead,Human,Anatomy Park,S01E03,"December 16, 2013",Dimension C-137
13,Alien Googah,unknown,Alien,The Rickchurian Mortydate,S03E10,"October 1, 2017",Unknown
14,Alien Morty,unknown,Alien,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Unknown
15,Alien Rick,unknown,Alien,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Unknown
16,Amish Cyborg,Dead,Alien,Total Rickall,S02E04,"August 16, 2015",Unknown
17,Annie,Alive,Human,Anatomy Park,S01E03,"December 16, 2013",Dimension C-137
18,Antenna Morty,Alive,Human,Close Rick-counters of the Rick Kind,S01E10,"April 7, 2014",Unknown
